time_utc,equity_usd,available_usd,unrealized_pnl_usd,open_positions,gross_exposure_usd,net_exposure_usd,drawdown_pct
2026-06-20T04:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T04:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T05:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T05:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T05:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T05:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T06:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T06:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T06:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T06:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T07:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T07:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T07:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T07:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T08:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T08:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T08:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T08:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T09:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T09:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T09:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T09:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T10:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T10:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T10:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T10:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T11:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T11:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T11:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T11:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T12:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T12:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T12:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T12:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T13:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T13:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T13:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T13:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T14:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T14:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T14:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T14:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T15:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T15:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T15:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T15:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T16:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T16:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T16:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T16:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T17:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T17:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T17:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T17:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T18:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T18:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T18:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T18:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T19:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T19:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T19:44:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T19:59:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T20:14:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T20:29:59.0000000Z,10000,10000,0,0,0,0,0
2026-06-20T20:44:59.0000000Z,10000,10000,0,0,0,0,0
